Trade number,Instrument,Account,Strategy,Market pos.,Qty,Entry price,Exit price,Entry time,Exit time,Entry name,Exit name,Profit,Cum. net profit,Commission,Clearing Fee,Exchange Fee,IP Fee,NFA Fee,MAE,MFE,ETD,Bars,
109,MCL 01-26,Playback101,,Long,2,57.82,57.73,10/12/25 11:54:44 a. m.,10/12/25 11:55:53 a. m.,EntryLong,Sell,$-1800,$2.39975,$000,$000,$000,$000,$000,$1800,$000,$1800,2,
110,MNQ 12-25,Playback101,,Long,1,25546.75,25630.75,10/12/25 12:06:19 p. m.,10/12/25 12:18:32 p. m.,EntryLong,TP1_Long,$16800,$2.56775,$000,$000,$000,$000,$000,$700,$38850,$22050,13,
111,MCL 01-26,Playback101,,Long,1,57.77,58.01,10/12/25 12:28:28 p. m.,10/12/25 12:47:39 p. m.,EntryLong,TP1_Long,$2400,$2.59175,$000,$000,$000,$000,$000,$200,$4500,$2100,20,
112,MCL 01-26,Playback101,,Long,1,57.77,58.20,10/12/25 12:28:28 p. m.,10/12/25 2:16:24 p. m.,EntryLong,TP2_Long,$4300,$2.63475,$000,$000,$000,$000,$000,$200,$4500,$200,109,
113,MES 12-25,Playback101,,Short,1,6850.50,6860.75,10/12/25 3:00:12 p. m.,10/12/25 3:00:32 p. m.,EntryShort,SL_Short,$-5125,$2.58350,$000,$000,$000,$000,$000,$5625,$250,$5375,1,
114,MES 12-25,Playback101,,Short,1,6850.50,6860.50,10/12/25 3:00:12 p. m.,10/12/25 3:00:32 p. m.,EntryShort,SL_Short,$-5000,$2.53350,$000,$000,$000,$000,$000,$5625,$250,$5250,1,
115,MNQ 12-25,Playback101,,Long,1,25546.75,25738.50,10/12/25 12:06:19 p. m.,10/12/25 3:10:03 p. m.,EntryLong,TP2_Long,$38350,$2.91700,$000,$000,$000,$000,$000,$700,$38850,$500,185,
116,MGC 02-26,Playback101,,Short,1,4237.4,4236.9,10/12/25 3:14:20 p. m.,10/12/25 3:14:20 p. m.,TP2_Long,EntryLong,$500,$2.92200,$000,$000,$000,$000,$000,$500,$500,$000,1,
117,MGC 02-26,Playback101,,Short,1,4237.4,4236.9,10/12/25 3:14:20 p. m.,10/12/25 3:14:20 p. m.,TP2_Long,EntryLong,$500,$2.92700,$000,$000,$000,$000,$000,$500,$500,$000,1,
118,MGC 02-26,Playback101,,Short,1,4241.6,4237.0,10/12/25 3:15:01 p. m.,10/12/25 3:22:55 p. m.,EntryShort,TP1_Short,$4600,$2.97300,$000,$000,$000,$000,$000,$4200,$13300,$8700,8,
119,MGC 02-26,Playback101,,Short,1,4241.6,4230.0,10/12/25 3:15:01 p. m.,10/12/25 3:28:19 p. m.,EntryShort,TP2_Short,$11600,$3.08900,$000,$000,$000,$000,$000,$4200,$13300,$1700,14,
120,M2K 12-25,Playback101,,Short,2,2551.8,2555.2,10/12/25 3:21:01 p. m.,10/12/25 3:33:11 p. m.,EntryShort,SL_Short,$-3400,$3.05500,$000,$000,$000,$000,$000,$3500,$11100,$14500,13,
121,MES 12-25,Playback101,,Short,2,6868.50,6875.75,10/12/25 3:15:21 p. m.,10/12/25 3:34:09 p. m.,EntryShort,SL_Short,$-7250,$2.98250,$000,$000,$000,$000,$000,$7750,$18250,$25500,20,
122,MYM 12-25,Playback101,,Short,1,48013,47957,10/12/25 3:38:04 p. m.,10/12/25 3:40:08 p. m.,EntryShort,TP2_Short,$2800,$3.01050,$000,$000,$000,$000,$000,$2150,$3200,$400,3,
123,MYM 12-25,Playback101,,Short,1,48013,47977,10/12/25 3:38:04 p. m.,10/12/25 3:40:08 p. m.,EntryShort,TP2_Short,$1800,$3.02850,$000,$000,$000,$000,$000,$2150,$3200,$1400,3,
124,MCL 01-26,Playback101,,Short,2,58.67,58.74,10/12/25 3:45:08 p. m.,10/12/25 3:52:12 p. m.,EntryShort,Buy to cover,$-1400,$3.01450,$000,$000,$000,$000,$000,$1400,$400,$1800,8,
125,MGC 02-26,Playback101,,Long,1,4215.7,4229.4,10/12/25 3:47:04 p. m.,10/12/25 3:52:35 p. m.,EntryLong,TP1_Long,$13700,$3.15150,$000,$000,$000,$000,$000,$1000,$26300,$12600,6,
126,MNQ 12-25,Playback101,,Short,1,25686.00,25780.00,10/12/25 3:45:08 p. m.,10/12/25 3:54:01 p. m.,EntryShort,SL_Short,$-18800,$2.96350,$000,$000,$000,$000,$000,$21400,$650,$19450,10,
127,MNQ 12-25,Playback101,,Short,1,25686.00,25780.00,10/12/25 3:45:08 p. m.,10/12/25 3:54:01 p. m.,EntryShort,SL_Short,$-18800,$2.77550,$000,$000,$000,$000,$000,$21400,$650,$19450,10,
128,MGC 02-26,Playback101,,Long,1,4215.7,4242.0,10/12/25 3:47:04 p. m.,10/12/25 3:57:14 p. m.,EntryLong,TP2_Long,$26300,$3.03850,$000,$000,$000,$000,$000,$1000,$26300,$000,11,
129,MYM 12-25,Playback101,,Short,2,48194,48220,10/12/25 4:20:22 p. m.,10/12/25 4:20:36 p. m.,EntryShort,SL_Short,$-2600,$3.01250,$000,$000,$000,$000,$000,$3000,$700,$3300,1,
130,MCL 01-26,Playback101,,Short,2,58.91,59.03,10/12/25 4:06:27 p. m.,10/12/25 4:23:05 p. m.,EntryShort,SL_Short,$-2400,$2.98850,$000,$000,$000,$000,$000,$2600,$400,$2800,18,
131,MES 12-25,Playback101,,Short,2,6901.00,6906.75,10/12/25 4:25:26 p. m.,10/12/25 4:33:07 p. m.,EntryShort,SL_Short,$-5750,$2.93100,$000,$000,$000,$000,$000,$5750,$3250,$9000,9,
132,MGC 02-26,Playback101,,Short,1,4265.3,4258.2,10/12/25 4:21:33 p. m.,10/12/25 7:00:01 p. m.,EntryShort,Buy to cover,$7100,$3.00200,$000,$000,$000,$000,$000,$2500,$14100,$7000,100,
133,MGC 02-26,Playback101,,Short,1,4265.3,4258.1,10/12/25 4:21:33 p. m.,10/12/25 7:00:01 p. m.,EntryShort,Buy to cover,$7200,$3.07400,$000,$000,$000,$000,$000,$2500,$14100,$6900,100,
134,MNQ 12-25,Playback101,,Short,1,25846.00,25778.50,10/12/25 4:25:26 p. m.,10/12/25 7:00:02 p. m.,EntryShort,SL_Short,$13500,$3.20900,$000,$000,$000,$000,$000,$3450,$18350,$4850,96,
135,MNQ 12-25,Playback101,,Short,1,25846.00,25778.25,10/12/25 4:25:26 p. m.,10/12/25 7:00:02 p. m.,EntryShort,SL_Short,$13550,$3.34450,$000,$000,$000,$000,$000,$3450,$18350,$4800,96,
136,MGC 02-26,Playback101,,Short,1,4271.6,4265.2,10/12/25 8:30:26 p. m.,10/12/25 8:59:01 p. m.,EntryShort,TP1_Short,$6400,$3.40850,$000,$000,$000,$000,$000,$1200,$7900,$1500,30,
137,MGC 02-26,Playback101,,Short,1,4271.6,4271.6,10/12/25 8:30:26 p. m.,10/12/25 9:00:56 p. m.,EntryShort,SL_Short,$000,$3.40850,$000,$000,$000,$000,$000,$1200,$7900,$7900,31,
138,MNQ 12-25,Playback101,,Long,1,25542.75,25523.00,10/12/25 10:57:10 p. m.,10/12/25 11:01:46 p. m.,EntryLong,SL_Long,$-3950,$3.36900,$000,$000,$000,$000,$000,$4700,$1850,$5800,5,
139,MNQ 12-25,Playback101,,Long,1,25542.75,25523.00,10/12/25 10:57:10 p. m.,10/12/25 11:01:46 p. m.,EntryLong,SL_Long,$-3950,$3.32950,$000,$000,$000,$000,$000,$4700,$1850,$5800,5,
140,MCL 01-26,Playback101,,Long,1,57.98,57.92,11/12/25 4:17:14 a. m.,11/12/25 4:19:12 a. m.,EntryLong,Sell,$-600,$3.32350,$000,$000,$000,$000,$000,$600,$400,$1000,3,
141,MCL 01-26,Playback101,,Long,1,57.98,57.92,11/12/25 4:17:14 a. m.,11/12/25 4:19:12 a. m.,EntryLong,Sell,$-600,$3.31750,$000,$000,$000,$000,$000,$600,$400,$1000,3,
142,MNQ 12-25,Playback101,,Long,1,25441.50,25587.00,10/12/25 11:34:01 p. m.,11/12/25 5:21:50 a. m.,EntryLong,TP1_Long,$29100,$3.60850,$000,$000,$000,$000,$000,$1500,$45900,$16800,348,
143,MES 12-25,Playback101,,Long,1,6829.00,6854.75,10/12/25 11:32:48 p. m.,11/12/25 5:52:56 a. m.,EntryLong,TP1_Long,$12875,$3.73725,$000,$000,$000,$000,$000,$1375,$16875,$4000,381,
144,MCL 01-26,Playback101,,Long,1,57.72,57.62,11/12/25 5:00:22 a. m.,11/12/25 6:02:04 a. m.,EntryLong,Sell,$-1000,$3.72725,$000,$000,$000,$000,$000,$1100,$1000,$2000,63,
145,MCL 01-26,Playback101,,Long,1,57.72,57.63,11/12/25 5:00:22 a. m.,11/12/25 6:02:04 a. m.,EntryLong,Sell,$-900,$3.71825,$000,$000,$000,$000,$000,$1100,$1000,$1900,63,
146,MES 12-25,Playback101,,Long,1,6829.00,6862.50,10/12/25 11:32:48 p. m.,11/12/25 7:55:46 a. m.,EntryLong,TP2_Long,$16750,$3.88575,$000,$000,$000,$000,$000,$1375,$16875,$125,504,
147,MNQ 12-25,Playback101,,Long,1,25441.50,25670.00,10/12/25 11:34:01 p. m.,11/12/25 8:22:03 a. m.,EntryLong,TP2_Long,$45700,$4.34275,$000,$000,$000,$000,$000,$1500,$45900,$200,529,
148,MNQ 12-25,Playback101,,Long,1,25538.50,25552.25,11/12/25 11:16:17 a. m.,11/12/25 11:17:04 a. m.,EntryLong,TP1_Long,$2750,$4.37025,$000,$000,$000,$000,$000,$1050,$18150,$15400,2,
149,MYM 12-25,Playback101,,Short,2,48333,48477,11/12/25 11:06:52 a. m.,11/12/25 11:24:45 a. m.,EntryShort,SL_Short,$-14400,$4.22625,$000,$000,$000,$000,$000,$14800,$2000,$16400,19,
150,MNQ 12-25,Playback101,,Long,1,25538.50,25538.50,11/12/25 11:16:17 a. m.,11/12/25 11:41:04 a. m.,EntryLong,SL_Long,$000,$4.22625,$000,$000,$000,$000,$000,$1050,$18150,$18150,26,
151,MYM 12-25,Playback101,,Short,1,48546,48582,11/12/25 11:37:02 a. m.,11/12/25 11:56:05 a. m.,EntryShort,SL_Short,$-1800,$4.20825,$000,$000,$000,$000,$000,$2050,$4100,$5900,20,
152,MYM 12-25,Playback101,,Short,1,48546,48582,11/12/25 11:37:02 a. m.,11/12/25 11:56:05 a. m.,EntryShort,SL_Short,$-1800,$4.19025,$000,$000,$000,$000,$000,$2050,$4100,$5900,20,
153,MCL 01-26,Playback101,,Long,1,57.27,57.18,11/12/25 10:40:48 a. m.,11/12/25 12:00:06 p. m.,EntryLong,SL_Long,$-900,$4.18125,$000,$000,$000,$000,$000,$1200,$2500,$3400,81,
154,MCL 01-26,Playback101,,Long,1,57.27,57.18,11/12/25 10:40:48 a. m.,11/12/25 12:00:06 p. m.,EntryLong,SL_Long,$-900,$4.17225,$000,$000,$000,$000,$000,$1200,$2500,$3400,81,
155,MGC 02-26,Playback101,,Short,1,4285.8,4291.5,11/12/25 12:00:01 p. m.,11/12/25 12:22:06 p. m.,EntryShort,SL_Short,$-5700,$4.11525,$000,$000,$000,$000,$000,$5700,$7100,$12800,23,
156,MGC 02-26,Playback101,,Short,1,4285.8,4291.5,11/12/25 12:00:01 p. m.,11/12/25 12:22:06 p. m.,EntryShort,SL_Short,$-5700,$4.05825,$000,$000,$000,$000,$000,$5700,$7100,$12800,23,
157,M2K 12-25,Playback101,,Short,2,2568.2,2580.9,11/12/25 11:05:37 a. m.,11/12/25 12:37:01 p. m.,EntryShort,SL_Short,$-12700,$3.93125,$000,$000,$000,$000,$000,$12700,$3000,$15700,93,
158,M2K 12-25,Playback101,,Short,2,2585.1,2588.9,11/12/25 1:00:03 p. m.,11/12/25 1:04:33 p. m.,EntryShort,SL_Short,$-3800,$3.89325,$000,$000,$000,$000,$000,$3800,$300,$4100,5,
159,MGC 02-26,Playback101,,Short,1,4304.9,4309.6,11/12/25 12:58:46 p. m.,11/12/25 1:06:58 p. m.,EntryShort,SL_Short,$-4700,$3.84625,$000,$000,$000,$000,$000,$4800,$2400,$7100,9,
160,MGC 02-26,Playback101,,Short,1,4304.9,4309.6,11/12/25 12:58:47 p. m.,11/12/25 1:06:58 p. m.,EntryShort,SL_Short,$-4700,$3.79925,$000,$000,$000,$000,$000,$4800,$2400,$7100,9,
161,MES 12-25,Playback101,,Short,2,6891.75,6896.25,11/12/25 1:30:17 p. m.,11/12/25 1:40:18 p. m.,EntryShort,SL_Short,$-4500,$3.75425,$000,$000,$000,$000,$000,$4500,$1000,$5500,11,
162,MCL 01-26,Playback101,,Long,1,57.23,57.76,11/12/25 12:09:04 p. m.,11/12/25 3:35:50 p. m.,EntryLong,TP1_Long,$5300,$3.80725,$000,$000,$000,$000,$000,$1200,$7200,$1900,205,
163,MES 12-25,Playback101,,Short,2,6907.00,6909.50,11/12/25 3:56:47 p. m.,11/12/25 5:00:08 p. m.,EntryShort,SL_Short,$-2500,$3.78225,$000,$000,$000,$000,$000,$2500,$10250,$12750,65,
164,MNQ 12-25,Playback101,,Short,1,25809.75,25839.00,11/12/25 5:22:04 p. m.,11/12/25 5:50:09 p. m.,EntryShort,Buy to cover,$-5850,$3.72375,$000,$000,$000,$000,$000,$6400,$4100,$9950,29,
165,MNQ 12-25,Playback101,,Short,1,25809.75,25838.75,11/12/25 5:22:04 p. m.,11/12/25 5:50:09 p. m.,EntryShort,Buy to cover,$-5800,$3.66575,$000,$000,$000,$000,$000,$6400,$4100,$9900,29,
166,MCL 01-26,Playback101,,Long,1,57.23,57.80,11/12/25 12:09:04 p. m.,11/12/25 7:00:01 p. m.,EntryLong,Sell,$5700,$3.72275,$000,$000,$000,$000,$000,$1200,$7200,$1500,349,
167,MCL 01-26,Playback101,,Long,1,57.88,57.90,11/12/25 7:17:25 p. m.,11/12/25 7:17:25 p. m.,TP1_Short,EntryShort,$200,$3.72475,$000,$000,$000,$000,$000,$200,$200,$000,1,
168,MCL 01-26,Playback101,,Long,1,57.91,57.90,11/12/25 7:17:25 p. m.,11/12/25 7:17:25 p. m.,StopCancelClose,EntryShort,$-100,$3.72375,$000,$000,$000,$000,$000,$100,$100,$200,1,
169,M2K 12-25,Playback101,,Short,1,2596.3,2595.1,11/12/25 7:34:36 p. m.,11/12/25 8:00:06 p. m.,EntryShort,TP1_Short,$600,$3.72975,$000,$000,$000,$000,$000,$750,$900,$300,26,
170,M2K 12-25,Playback101,,Short,1,2596.3,2596.3,11/12/25 7:34:36 p. m.,11/12/25 8:02:55 p. m.,EntryShort,SL_Short,$000,$3.72975,$000,$000,$000,$000,$000,$750,$900,$900,28,
171,MCL 01-26,Playback101,,Short,1,57.93,57.93,11/12/25 8:34:02 p. m.,11/12/25 8:34:02 p. m.,EntryShort,TP1_Short,$000,$3.72975,$000,$000,$000,$000,$000,$000,$000,$000,1,
172,MCL 01-26,Playback101,,Short,1,57.93,57.93,11/12/25 8:34:02 p. m.,11/12/25 8:34:02 p. m.,EntryShort,Buy to cover,$000,$3.72975,$000,$000,$000,$000,$000,$000,$000,$000,1,
173,MYM 12-25,Playback101,,Short,1,48821,48795,11/12/25 8:39:03 p. m.,11/12/25 8:58:43 p. m.,EntryShort,TP1_Short,$1300,$3.74275,$000,$000,$000,$000,$000,$350,$1350,$050,20,
174,MYM 12-25,Playback101,,Short,1,48821,48823,11/12/25 8:39:03 p. m.,11/12/25 9:15:25 p. m.,EntryShort,Buy to cover,$-100,$3.74175,$000,$000,$000,$000,$000,$350,$1350,$1450,37,
175,MCL 01-26,Playback101,,Short,1,58.03,57.98,12/12/25 12:23:24 a. m.,12/12/25 2:33:59 a. m.,EntryShort,TP1_Short,$500,$3.74675,$000,$000,$000,$000,$000,$1200,$1900,$1400,113,
176,MGC 02-26,Playback101,,Short,2,4318.0,4319.8,12/12/25 3:17:58 a. m.,12/12/25 3:35:01 a. m.,EntryShort,SL_Short,$-3600,$3.71075,$000,$000,$000,$000,$000,$3600,$6200,$9800,19,
177,MGC 02-26,Playback101,,Short,1,4323.7,4326.7,12/12/25 4:22:56 a. m.,12/12/25 4:31:50 a. m.,EntryShort,SL_Short,$-3000,$3.68075,$000,$000,$000,$000,$000,$3200,$900,$3900,10,
178,MGC 02-26,Playback101,,Short,1,4323.7,4326.7,12/12/25 4:22:56 a. m.,12/12/25 4:31:50 a. m.,EntryShort,SL_Short,$-3000,$3.65075,$000,$000,$000,$000,$000,$3200,$900,$3900,10,
179,MCL 01-26,Playback101,,Short,1,58.03,58.03,12/12/25 12:23:24 a. m.,12/12/25 4:46:35 a. m.,EntryShort,SL_Short,$000,$3.65075,$000,$000,$000,$000,$000,$1200,$1900,$1900,246,
180,MYM 12-25,Playback101,,Short,1,48901,48854,12/12/25 4:51:00 a. m.,12/12/25 5:11:27 a. m.,EntryShort,TP1_Short,$2350,$3.67425,$000,$000,$000,$000,$000,$400,$6550,$4200,22,
181,MNQ 12-25,Playback101,,Long,2,25631.75,25612.50,12/12/25 5:17:06 a. m.,12/12/25 5:26:16 a. m.,EntryLong,SL_Long,$-7700,$3.59725,$000,$000,$000,$000,$000,$7900,$700,$8400,10,
182,MCL 01-26,Playback101,,Long,2,57.75,57.71,12/12/25 5:36:47 a. m.,12/12/25 5:36:51 a. m.,EntryLong,SL_Long,$-800,$3.58925,$000,$000,$000,$000,$000,$800,$200,$1000,1,
183,MES 12-25,Playback101,,Long,2,6896.25,6893.25,12/12/25 5:37:57 a. m.,12/12/25 5:39:54 a. m.,EntryLong,SL_Long,$-3000,$3.55925,$000,$000,$000,$000,$000,$3000,$250,$3250,3,
184,M2K 12-25,Playback101,,Long,1,2597.1,2599.3,12/12/25 6:18:43 a. m.,12/12/25 6:50:14 a. m.,EntryLong,TP1_Long,$1100,$3.57025,$000,$000,$000,$000,$000,$300,$2950,$1850,32,
185,M2K 12-25,Playback101,,Long,1,2597.1,2597.1,12/12/25 6:18:43 a. m.,12/12/25 8:00:57 a. m.,EntryLong,SL_Long,$000,$3.57025,$000,$000,$000,$000,$000,$300,$2950,$2950,103,
186,MNQ 12-25,Playback101,,Long,1,25563.25,25620.25,12/12/25 10:35:04 a. m.,12/12/25 10:39:30 a. m.,EntryLong,TP1_Long,$11400,$3.68425,$000,$000,$000,$000,$000,$2550,$11450,$050,5,
187,MNQ 12-25,Playback101,,Long,1,25563.25,25563.25,12/12/25 10:35:04 a. m.,12/12/25 10:41:08 a. m.,EntryLong,SL_Long,$000,$3.68425,$000,$000,$000,$000,$000,$2550,$11450,$11450,7,
188,MYM 12-25,Playback101,,Short,1,48901,48773,12/12/25 4:51:00 a. m.,12/12/25 10:41:08 a. m.,EntryShort,TP2_Short,$6400,$3.74825,$000,$000,$000,$000,$000,$400,$6550,$150,352,
189,M2K 12-25,Playback101,,Long,1,2592.1,2589.4,12/12/25 10:39:12 a. m.,12/12/25 10:46:07 a. m.,EntryLong,SL_Long,$-1350,$3.73475,$000,$000,$000,$000,$000,$1350,$1700,$3050,8,
190,M2K 12-25,Playback101,,Long,1,2592.1,2589.5,12/12/25 10:39:12 a. m.,12/12/25 10:46:07 a. m.,EntryLong,SL_Long,$-1300,$3.72175,$000,$000,$000,$000,$000,$1300,$1700,$3000,8,
191,MYM 12-25,Playback101,,Long,1,48848,48850,12/12/25 10:50:04 a. m.,12/12/25 10:50:04 a. m.,EntryLong,TP1_Long,$100,$3.72275,$000,$000,$000,$000,$000,$100,$100,$000,1,
192,MYM 12-25,Playback101,,Short,1,48850,48848,12/12/25 10:50:04 a. m.,12/12/25 10:50:04 a. m.,Sell,EntryLong,$100,$3.72375,$000,$000,$000,$000,$000,$100,$100,$000,1,
193,MES 12-25,Playback101,,Long,2,6890.75,6885.50,12/12/25 10:58:00 a. m.,12/12/25 11:00:40 a. m.,EntryLong,SL_Long,$-5250,$3.67125,$000,$000,$000,$000,$000,$6000,$500,$5750,4,
194,MYM 12-25,Playback101,,Short,1,48840,48838,12/12/25 11:02:06 a. m.,12/12/25 11:02:06 a. m.,EntryShort,TP1_Short,$100,$3.67225,$000,$000,$000,$000,$000,$100,$500,$400,1,
195,MYM 12-25,Playback101,,Short,1,48840,48841,12/12/25 11:02:06 a. m.,12/12/25 11:02:12 a. m.,EntryShort,SL_Short,$-050,$3.67175,$000,$000,$000,$000,$000,$100,$500,$550,1,
196,MCL 01-26,Playback101,,Long,2,57.43,57.30,12/12/25 11:03:12 a. m.,12/12/25 11:06:50 a. m.,EntryLong,Sell,$-2600,$3.64575,$000,$000,$000,$000,$000,$3400,$600,$3200,4,
197,MGC 02-26,Playback101,,Short,1,4379.5,4349.2,12/12/25 11:07:51 a. m.,12/12/25 11:21:43 a. m.,EntryShort,TP1_Short,$30300,$3.94875,$000,$000,$000,$000,$000,$4800,$63900,$33600,15,
198,MNQ 12-25,Playback101,,Long,2,25336.00,25295.00,12/12/25 11:34:36 a. m.,12/12/25 11:58:03 a. m.,EntryLong,SL_Long,$-16400,$3.78475,$000,$000,$000,$000,$000,$20400,$26200,$42600,25,
199,MGC 02-26,Playback101,,Short,1,4379.5,4316.8,12/12/25 11:07:51 a. m.,12/12/25 11:58:11 a. m.,EntryShort,TP2_Short,$62700,$4.41175,$000,$000,$000,$000,$000,$4800,$63900,$1200,52,
200,MES 12-25,Playback101,,Long,2,6826.00,6818.00,12/12/25 12:08:22 p. m.,12/12/25 12:11:36 p. m.,EntryLong,SL_Long,$-8000,$4.33175,$000,$000,$000,$000,$000,$9500,$750,$8750,4,
201,MNQ 12-25,Playback101,,Long,1,25208.25,25165.75,12/12/25 12:08:23 p. m.,12/12/25 12:11:36 p. m.,EntryLong,SL_Long,$-8500,$4.24675,$000,$000,$000,$000,$000,$9800,$2100,$10600,4,
202,MNQ 12-25,Playback101,,Long,1,25209.25,25165.75,12/12/25 12:08:23 p. m.,12/12/25 12:11:36 p. m.,EntryLong,SL_Long,$-8700,$4.15975,$000,$000,$000,$000,$000,$10000,$1900,$10600,4,
203,M2K 12-25,Playback101,,Long,1,2559.5,2555.7,12/12/25 12:31:45 p. m.,12/12/25 12:33:58 p. m.,EntryLong,Sell,$-1900,$4.14075,$000,$000,$000,$000,$000,$1950,$050,$1950,3,
204,M2K 12-25,Playback101,,Long,1,2559.5,2555.6,12/12/25 12:31:45 p. m.,12/12/25 12:33:58 p. m.,EntryLong,Sell,$-1950,$4.12125,$000,$000,$000,$000,$000,$1950,$050,$2000,3,
205,MES 12-25,Playback101,,Long,2,6818.25,6810.00,12/12/25 12:31:56 p. m.,12/12/25 12:37:50 p. m.,EntryLong,SL_Long,$-8250,$4.03875,$000,$000,$000,$000,$000,$8750,$1500,$9750,7,
206,MNQ 12-25,Playback101,,Long,1,25177.50,25133.50,12/12/25 12:31:57 p. m.,12/12/25 12:38:13 p. m.,EntryLong,SL_Long,$-8800,$3.95075,$000,$000,$000,$000,$000,$8850,$1700,$10500,8,
207,MNQ 12-25,Playback101,,Long,1,25177.50,25133.50,12/12/25 12:31:57 p. m.,12/12/25 12:38:13 p. m.,EntryLong,SL_Long,$-8800,$3.86275,$000,$000,$000,$000,$000,$8850,$1700,$10500,8,
208,MNQ 12-25,Playback101,,Long,1,25143.75,25230.25,12/12/25 12:43:09 p. m.,12/12/25 1:05:26 p. m.,EntryLong,TP2_Long,$17300,$4.03575,$000,$000,$000,$000,$000,$1500,$17600,$300,23,
209,MNQ 12-25,Playback101,,Long,1,25143.75,25230.00,12/12/25 12:43:09 p. m.,12/12/25 1:05:26 p. m.,EntryLong,TP2_Long,$17250,$4.20825,$000,$000,$000,$000,$000,$1500,$17600,$350,23,
210,MES 12-25,Playback101,,Long,1,6810.25,6829.75,12/12/25 12:43:05 p. m.,12/12/25 1:06:31 p. m.,EntryLong,TP2_Long,$9750,$4.30575,$000,$000,$000,$000,$000,$250,$9875,$125,24,
211,MES 12-25,Playback101,,Long,1,6810.25,6829.75,12/12/25 12:43:05 p. m.,12/12/25 1:06:31 p. m.,EntryLong,TP2_Long,$9750,$4.40325,$000,$000,$000,$000,$000,$250,$9875,$125,24,
212,MGC 02-26,Playback101,,Long,1,4303.4,4321.1,12/12/25 1:07:09 p. m.,12/12/25 1:23:46 p. m.,EntryLong,TP2_Long,$17700,$4.58025,$000,$000,$000,$000,$000,$1600,$17800,$100,17,
213,MGC 02-26,Playback101,,Long,1,4303.4,4321.1,12/12/25 1:07:09 p. m.,12/12/25 1:23:46 p. m.,EntryLong,TP2_Long,$17700,$4.75725,$000,$000,$000,$000,$000,$1600,$17800,$100,17,
214,M2K 12-25,Playback101,,Long,1,2554.1,2570.6,12/12/25 12:46:01 p. m.,12/12/25 2:12:13 p. m.,EntryLong,TP2_Long,$8250,$4.83975,$000,$000,$000,$000,$000,$1900,$8350,$100,88,
215,M2K 12-25,Playback101,,Long,1,2554.1,2570.6,12/12/25 12:46:01 p. m.,12/12/25 2:12:13 p. m.,EntryLong,TP2_Long,$8250,$4.92225,$000,$000,$000,$000,$000,$1900,$8350,$100,88,
